event,net,sta,ML_station,ML_station_std,n_component,distance_km,distance_min_km,distance_max_km,header_ML,amplitude_mm_max,amplitude_mm_mean,amp_window_start,amp_window_end,s_pick,s_source
20051231172159_ML3.3,TW,DBVB,10.202094901053934,0.1641008428161473,2,249.2584686279297,249.2584686279297,249.2584686279297,3.299999952316284,3942319.3359375,3126335.693359375,2005-12-31T17:23:24.338006,2005-12-31T17:25:01.520313,2005-12-31T17:23:24.338006,header
20051231172159_ML3.3,TW,DHVB,10.406790368287357,0.03887739205751059,2,220.04331970214844,220.04331970214844,220.04331970214844,3.299999952316284,6717611.328125,6318207.51953125,2005-12-31T17:23:17.338002,2005-12-31T17:24:37.453546,2005-12-31T17:23:17.338002,header
20051231172159_ML3.3,TW,LCVB,10.364227925614887,0.11657788622823888,2,180.39691162109375,180.39691162109375,180.39691162109375,3.299999952316284,10239917.96875,8622638.916015625,2005-12-31T17:22:57.828004,2005-12-31T17:24:03.432608,2005-12-31T17:22:57.828004,header
20051231172159_ML3.3,TW,MCVB,10.036600877562524,0.041255645136500145,2,284.2530212402344,284.2530212402344,284.2530212402344,3.299999952316284,1636523.193359375,1533659.8510742188,2005-12-31T17:23:38.698002,2005-12-31T17:25:30.400014,2005-12-31T17:23:38.698002,header
20051231172159_ML3.3,TW,TGVB,9.962965602189353,0.0469118776737585,2,211.58181762695312,211.58181762695312,211.58181762695312,3.299999952316284,2654402.099609375,2466383.544921875,2005-12-31T17:23:13.078000,2005-12-31T17:24:30.632545,2005-12-31T17:23:13.078000,header
20051231172159_ML3.3,TW,TTVB,9.838653315530259,0.0009567371680430251,2,212.33831787109375,212.33831787109375,212.33831787109375,3.299999952316284,1836576.0498046875,1833719.6044921875,2005-12-31T17:23:14.448000,2005-12-31T17:24:30.936878,2005-12-31T17:23:14.448000,header
20060106182759_ML3.6,TW,DBVB,10.93408258894234,0.03691481468349802,2,97.6240234375,97.6240234375,97.6240234375,3.5999999046325684,94682117.1875,89320101.5625,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:29.827994,header
20060106182759_ML3.6,TW,DHVB,10.47009450062648,0.055263430684268436,2,289.0690612792969,289.0690612792969,289.0690612792969,3.5999999046325684,4366357.91015625,4006801.8798828125,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:40.808001,header
20060106182759_ML3.6,TW,LCVB,10.735673805663327,0.04194409648682576,2,74.96392059326172,74.96392059326172,74.96392059326172,3.5999999046325684,89446820.3125,83737097.65625,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:22.307997,header
20060106182759_ML3.6,TW,MCVB,10.238232655807591,0.03859514905965984,2,266.3656921386719,266.3656921386719,266.3656921386719,3.5999999046325684,3011698.486328125,2833854.248046875,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:44.637995,header
20060106182759_ML3.6,TW,TGVB,10.912854044711175,0.05680305087230238,2,115.49214172363281,115.49214172363281,115.49214172363281,3.5999999046325684,71500078.125,65462927.734375,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:33.898001,header
20060106182759_ML3.6,TW,TTVB,10.432485724761476,0.14533345940752035,2,212.66404724121094,212.66404724121094,212.66404724121094,3.5999999046325684,9090264.6484375,7376615.478515625,2006-01-06T18:29:11.987996,2006-01-06T18:30:34.964032,2006-01-06T18:29:11.987996,header
20060106182808,TW,DBVB,10.93408258894234,0.03691481468349802,2,97.6240234375,97.6240234375,97.6240234375,3.5999999046325684,94682117.1875,89320101.5625,2006-01-06T18:28:29.827994,2006-01-06T18:29:03.080682,2006-01-06T18:28:29.827994,header
20060106182808,TW,DHVB,10.47009450062648,0.055263430684268436,2,289.0690612792969,289.0690612792969,289.0690612792969,3.5999999046325684,4366357.91015625,4006801.8798828125,2006-01-06T18:29:40.808001,2006-01-06T18:31:38.660708,2006-01-06T18:29:40.808001,header
20060106182808,TW,LCVB,10.735673805663327,0.04194409648682576,2,74.96392059326172,74.96392059326172,74.96392059326172,3.5999999046325684,89446820.3125,83737097.65625,2006-01-06T18:28:22.307997,2006-01-06T18:28:47.973947,2006-01-06T18:28:22.307997,header
20060106182808,TW,MCVB,10.238232655807591,0.03859514905965984,2,266.3656921386719,266.3656921386719,266.3656921386719,3.5999999046325684,3011698.486328125,2833854.248046875,2006-01-06T18:29:44.637995,2006-01-06T18:31:20.915128,2006-01-06T18:29:44.637995,header
20060106182808,TW,TGVB,10.912854044711175,0.05680305087230238,2,115.49214172363281,115.49214172363281,115.49214172363281,3.5999999046325684,71500078.125,65462927.734375,2006-01-06T18:28:33.898001,2006-01-06T18:29:14.992761,2006-01-06T18:28:33.898001,header
